IATA,Name,City,Official Country Name
NYO,Stockholm Skavsta Airport,Stockholm / Nykoping,Kingdom of Sweden
SCR,Sälen/Scandinavian Mountains Airport,Rörbäcksnäs,Kingdom of Sweden
KID,Kristianstad Airport,Kristianstad,Kingdom of Sweden
MMX,Malmo Sturup Airport,Malmo,Kingdom of Sweden
HAD,Halmstad Airport,Halmstad,Kingdom of Sweden
VXO,Vaxjo Kronoberg Airport,Vaxjo,Kingdom of Sweden
GEV,Gallivare Airport,Gallivare,Kingdom of Sweden
KRF,Kramfors Solleftea Airport,Kramfors / Solleftea,Kingdom of Sweden
SDL,Sundsvall-Harnosand Airport,Sundsvall/ Harnosand,Kingdom of Sweden
OER,Ornskoldsvik Airport,Ornskoldsvik,Kingdom of Sweden
SFT,Skelleftea Airport,Skelleftea,Kingdom of Sweden
UME,Umea Airport,Umea,Kingdom of Sweden
AJR,Arvidsjaur Airport,Arvidsjaur,Kingdom of Sweden
SOO,Soderhamn Airport,Soderhamn,Kingdom of Sweden
OSD,Ostersund Airport,Ostersund,Kingdom of Sweden
ORB,Orebro Airport,Orebro,Kingdom of Sweden
KSD,Karlstad Airport,Karlstad,Kingdom of Sweden
VST,Stockholm Vasteras Airport,Stockholm / Vasteras,Kingdom of Sweden
LLA,Lulea Airport,Lulea,Kingdom of Sweden
ARN,Stockholm-Arlanda Airport,Stockholm,Kingdom of Sweden
BMA,Stockholm-Bromma Airport,Stockholm,Kingdom of Sweden
GVX,Gavle Sandviken Airport,Gavle / Sandviken,Kingdom of Sweden
LPI,Linkoping SAAB Airport,Linkoping,Kingdom of Sweden
NRK,Norrkoping Airport,Norrkoping,Kingdom of Sweden
EKT,Eskilstuna Airport,Eskilstuna,Kingdom of Sweden
VBY,Visby Airport,Visby,Kingdom of Sweden
VVK,Vastervik Airport,Vastervik,Kingdom of Sweden
AGH,Angelholm-Helsingborg Airport,Angelholm,Kingdom of Sweden
IDB,Idre Airport,Idre,Kingdom of Sweden
SPM,Spangdahlem Air Base,Trier,Federal Republic of Germany
RMS,Ramstein Air Base,Ramstein,Federal Republic of Germany
FRZ,Fritzlar Airport,Fritzlar,Federal Republic of Germany
QCN,Hohn Airport,Hohn,Federal Republic of Germany
RLG,Rostock-Laage Airport,Rostock,Federal Republic of Germany
WIE,Wiesbaden Army Airfield,Wiesbaden,Federal Republic of Germany
FEL,Furstenfeldbruck Airport,Furstenfeldbruck,Federal Republic of Germany
IGS,Ingolstadt Manching Airport,Manching,Federal Republic of Germany
GUT,Gutersloh Airport,Gutersloh,Federal Republic of Germany
LPX,Liepaja International Airport,Liepaja,Republic of Latvia
RIX,Riga International Airport,Riga,Republic of Latvia
VNT,Ventspils International Airport,Ventspils,Republic of Latvia
KUN,Kaunas International Airport,Kaunas,Republic of Lithuania
PLQ,Palanga International Airport,Palanga,Republic of Lithuania
SQQ,Siauliai International Airport,Siauliai,Republic of Lithuania
HLJ,Barysiai Airport,Barysiai,Republic of Lithuania
VNO,Vilnius International Airport,Vilnius,Republic of Lithuania
ALJ,Alexander Bay Airport,Alexander Bay,Republic of South Africa
AGZ,Aggeneys Airport,Aggeneys,Republic of South Africa
ADY,Alldays Airport,Alldays,Republic of South Africa
BIY,Bisho Airport,Bisho,Republic of South Africa
BFN,J B M Hertzog International Airport,Bloemfontain,Republic of South Africa
ASS,Arathusa Safari Lodge Airport,Arathusa,Republic of South Africa
CDO,Cradock Airport,Cradock,Republic of South Africa
CPT,Cape Town International Airport,Cape Town,Republic of South Africa
DUK,Mubatuba Airport,Mubatuba,Republic of South Africa
PZL,Zulu Inyala Airport,Phinda,Republic of South Africa
ELS,Ben Schoeman Airport,East London,Republic of South Africa
EMG,Empangeni Airport,Empangeni,Republic of South Africa
ELL,Ellisras Matimba Airport,Ellisras,Republic of South Africa
FCB,Ficksburg Sentraoes Airport,Ficksburg,Republic of South Africa
GCJ,Grand Central Airport,Midrand,Republic of South Africa
GRJ,George Airport,George,Republic of South Africa
GIY,Giyani Airport,Giyani,Republic of South Africa
QRA,Rand Airport,Johannesburg,Republic of South Africa
HLW,Hluhluwe Airport,Hluhluwe,Republic of South Africa
HRS,Harrismith Airport,Harrismith,Republic of South Africa
HDS,Hoedspruit Air Force Base Airport,Hoedspruit,Republic of South Africa
KXE,P C Pelser Airport,Klerksdorp,Republic of South Africa
KIM,Kimberley Airport,Kimberley,Republic of South Africa
MQP,Kruger Mpumalanga International Airport,Mpumalanga,Republic of South Africa
KOF,Komatipoort Airport,Komatipoort,Republic of South Africa
KMH,Johan Pienaar Airport,Kuruman,Republic of South Africa
KLZ,Kleinsee Airport,Kleinsee,Republic of South Africa
HLA,Lanseria Airport,Johannesburg,Republic of South Africa
LMR,Lime Acres Finsch Mine Airport,Lime Acres,Republic of South Africa
LDZ,Londolozi Airport,Londolozi,Republic of South Africa
DUR,King Shaka International Airport,Durban,Republic of South Africa
LCD,Louis Trichardt Airport,Louis Trichardt,Republic of South Africa
SDB,Langebaanweg Airport,Langebaanweg,Republic of South Africa
LAY,Ladysmith Airport,Ladysmith,Republic of South Africa
AAM,Malamala Airport,Malamala,Republic of South Africa
MGH,Margate Airport,Margate,Republic of South Africa
MEZ,Musina(Messina) Airport,Musina,Republic of South Africa
MBD,Mmabatho International Airport,Mafeking,Republic of South Africa
LLE,Riverside Airport,Malelane,Republic of South Africa
MZY,Mossel Bay Airport,Mossel Bay,Republic of South Africa
MZQ,Mkuze Airport,Mkuze,Republic of South Africa
NCS,Newcastle Airport,Newcastle,Republic of South Africa
NGL,Ngala Airport,Ngala,Republic of South Africa
NLP,Nelspruit Airport,Nelspruit,Republic of South Africa
OVG,Overberg Airport,Overberg,Republic of South Africa
OUH,Oudtshoorn Airport,Oudtshoorn,Republic of South Africa
JNB,O. R. Tambo International Airport,Johannesburg,Republic of South Africa
AFD,Port Alfred Airport,Port Alfred,Republic of South Africa
PLZ,Port Elizabeth Airport,Port Elizabeth,Republic of South Africa
PHW,Hendrik Van Eck Airport,Phalaborwa,Republic of South Africa
JOH,Port St Johns Airport,Port St Johns,Republic of South Africa
PRK,Prieska Airport,Prieska,Republic of South Africa
PZB,Pietermaritzburg Airport,Pietermaritzburg,Republic of South Africa
NTY,Pilanesberg International Airport,Pilanesberg,Republic of South Africa
PTG,Polokwane International Airport,Potgietersrus,Republic of South Africa
PCF,Potchefstroom Airport,Potchefstroom,Republic of South Africa
UTW,Queenstown Airport,Queenstown,Republic of South Africa
RCB,Richards Bay Airport,Richards Bay,Republic of South Africa
RVO,Reivilo Airport,Reivilo,Republic of South Africa
ROD,Robertson Airport,Robertson,Republic of South Africa
SBU,Springbok Airport,Springbok,Republic of South Africa
ZEC,Secunda Airport,Secunda,Republic of South Africa
GSS,Sabi Sabi Airport,Belfast,Republic of South Africa
SIS,Sishen Airport,Sishen,Republic of South Africa
SZK,Skukuza Airport,Skukuza,Republic of South Africa
TDT,Tanda Tula Airport,Welverdiend,Republic of South Africa
THY,Thohoyandou Airport,Thohoyandou,Republic of South Africa
TCU,Thaba Nchu Tar Airport,Homeward,Republic of South Africa
LTA,Tzaneen Airport,Tzaneen,Republic of South Africa
ULD,Prince Mangosuthu Buthelezi Airport,Ulundi,Republic of South Africa
UTN,Pierre Van Ryneveld Airport,Upington,Republic of South Africa
ULX,Ulusaba Airport,Ulusaba,Republic of South Africa
UTT,K. D. Matanzima Airport,Mthatha,Republic of South Africa
VRU,Vryburg Airport,Vyrburg,Republic of South Africa
VIR,Virginia Airport,Durban,Republic of South Africa
VRE,Vredendal Airport,Vredendal,Republic of South Africa
VYD,Vryheid Airport,Vryheid,Republic of South Africa
PRY,Wonderboom Airport,Pretoria,Republic of South Africa
WKF,Waterkloof Air Force Base,Pretoria,Republic of South Africa
WEL,Welkom Airport,Welkom,Republic of South Africa
FRW,Francistown Airport,Francistown,Republic of Botswana
GNZ,Ghanzi Airport,Ghanzi,Republic of Botswana
BBK,Kasane Airport,Kasane,Republic of Botswana
KHW,Khwai River Lodge Airport,Khwai River Lodge,Republic of Botswana
MUB,Maun Airport,Maun,Republic of Botswana
GBE,Sir Seretse Khama International Airport,Gaborone,Republic of Botswana
SVT,Savuti Airport,Savuti,Republic of Botswana
SWX,Shakawe Airport,Shakawe,Republic of Botswana
TLD,Limpopo Valley Airport,Tuli Lodge,Republic of Botswana
TBY,Tshabong Airport,Tshabong,Republic of Botswana
BZV,Maya-Maya Airport,Brazzaville,Republic of the Congo
DJM,Djambala Airport,Djambala,Republic of the Congo
KNJ,Kindamba Airport,Kindamba,Republic of the Congo
LCO,Lague Airport,Lague,Republic of the Congo
MUY,Mouyondzi Airport,Mouyondzi,Republic of the Congo
SIB,Sibiti Airport,Sibiti,Republic of the Congo
NKY,Yokangassi Airport,Nkayi,Republic of the Congo
ANJ,Zanaga Airport,Zanaga,Republic of the Congo
MSX,Mossendjo Airport,Mossendjo,Republic of the Congo
BOE,Boundji Airport,Boundji,Republic of the Congo
EWO,Ewo Airport,Ewo,Republic of the Congo
GMM,Gamboma Airport,Gamboma,Republic of the Congo
ION,Impfondo Airport,Impfondo,Republic of the Congo
KEE,Kelle Airport,Kelle,Republic of the Congo
MKJ,Makoua Airport,Makoua,Republic of the Congo
FTX,Owando Airport,Owando,Republic of the Congo
SOE,Souanke Airport,Souanke,Republic of the Congo
BTB,Betou Airport,Betou,Republic of the Congo
KMK,Makabana Airport,Makabana,Republic of the Congo
DIS,Ngot Nzoungou Airport,Dolisie,Republic of the Congo
PNR,Pointe Noire Airport,Pointe Noire,Republic of the Congo
MTS,Matsapha Airport,Manzini,Kingdom of Eswatini
SHO,King Mswati III Intl,Manzini,Kingdom of Eswatini
CRF,Carnot Airport,Carnot,Central African Republic
BGF,Bangui M'Poko International Airport,Bangui,Central African Republic
BGU,Bangassou Airport,Bangassou,Central African Republic
IRO,Birao Airport,Birao,Central African Republic
BBY,Bambari Airport,Bambari,Central African Republic
NDL,N'Dele Airport,N'Dele,Central African Republic
BOP,Bouar Airport,Bouar,Central African Republic
BIV,Bria Airport,Bria,Central African Republic
BSN,Bossangoa Airport,Bossangoa,Central African Republic
BBT,Berberati Airport,Berberati,Central African Republic
ODA,Ouadda Airport,Ouadda,Central African Republic
AIG,Yalinga Airport,Yalinga,Central African Republic
IMO,Zemio Airport,Zemio,Central African Republic
MKI,M'Boki Airport,Mboki,Central African Republic
BTG,Batangafo Airport,Batangafo,Central African Republic
GDI,Gordil Airport,Melle,Central African Republic
BMF,Bakouma Airport,Bakouma,Central African Republic
ODJ,Ouanda Djalle Airport,Ouanda Djalle,Central African Republic
RFA,Rafai Airport,Rafai,Central African Republic
BCF,Bouca Airport,Bouca,Central African Republic
BOZ,Bozoum Airport,Bozoum,Central African Republic
SSG,Malabo Airport,Malabo,Republic of Equatorial Guinea
ASI,RAF Ascension Island,Ascension Island,"Saint Helena, Ascension and Tristan da Cunha"
HLE,Saint Helena Airport,Saint Helena,"Saint Helena, Ascension and Tristan da Cunha"
AHG,Agalega Island Airstrip,Vingt Cinq,Republic of Mauritius
MRU,Sir Seewoosagur Ramgoolam International Airport,Port Louis,Republic of Mauritius
RRG,Sir Charles Gaetan Duval Airport,Port Mathurin,Republic of Mauritius
NKS,Nkongsamba Airport,Nkongsamba,Republic of Cameroon
KBI,Kribi Airport,Kribi,Republic of Cameroon
TKC,Tiko Airport,Tiko,Republic of Cameroon
DLA,Douala International Airport,Douala,Republic of Cameroon
MMF,Mamfe Airport,Mamfe,Republic of Cameroon
BLC,Bali Airport,Bali,Republic of Cameroon
KLE,Kaele Airport,Kaele,Republic of Cameroon
OUR,Batouri Airport,Batouri,Republic of Cameroon
GXX,Yagoua Airport,Yagoua,Republic of Cameroon
MVR,Salak Airport,Maroua,Republic of Cameroon
FOM,Foumban Nkounja Airport,Foumban,Republic of Cameroon
NGE,N'Gaoundere Airport,N'Gaoundere,Republic of Cameroon
BTA,Bertoua Airport,Bertoua,Republic of Cameroon
GOU,Garoua International Airport,Garoua,Republic of Cameroon
DSC,Dschang Airport,Dschang,Republic of Cameroon
BFX,Bafoussam Airport,Bafoussam,Republic of Cameroon
BPC,Bamenda Airport,Bamenda,Republic of Cameroon
EBW,Ebolowa Airport,Ebolowa,Republic of Cameroon
YAO,Yaounde Airport,Yaounde,Republic of Cameroon
NSI,Yaounde Nsimalen International Airport,Yaounde,Republic of Cameroon
MMQ,Mbala Airport,Mbala,Republic of Zambia
CIP,Chipata Airport,Chipata,Republic of Zambia
JEK,Jeki Airstrip,Lower Zambezi National Park,Republic of Zambia
CGJ,Kasompe Airport,Kasompe,Republic of Zambia
LUN,Kenneth Kaunda International Airport,Lusaka,Republic of Zambia
KLB,Kalabo Airport,Kalabo,Republic of Zambia
KMZ,Kaoma Airport,Kaoma,Republic of Zambia
KAA,Kasama Airport,Kasama,Republic of Zambia
ZKB,Kasaba Bay Airport,Kasaba Bay,Republic of Zambia
LVI,Livingstone Airport,Livingstone,Republic of Zambia
LXU,Lukulu Airport,Lukulu,Republic of Zambia
MNS,Mansa Airport,Mansa,Republic of Zambia
MFU,Mfuwe Airport,Mfuwe,Republic of Zambia
MNR,Mongu Airport,Mongu,Republic of Zambia
ZGM,Ngoma Airport,Ngoma,Republic of Zambia
NLA,Simon Mwansa Kapwepwe International Airport,Ndola,Republic of Zambia
SXG,Senanga Airport,Senanga,Republic of Zambia
KIW,Southdowns Airport,Kitwe,Republic of Zambia
SJQ,Sesheke Airport,Sesheke,Republic of Zambia
SLI,Solwesi Airport,Solwesi,Republic of Zambia
BBZ,Zambezi Airport,Zambezi,Republic of Zambia
HAH,Prince Said Ibrahim International Airport,Moroni,Union of the Comoros
YVA,Iconi Airport,Moroni,Union of the Comoros
AJN,Ouani Airport,Ouani,Union of the Comoros
DZA,Dzaoudzi Pamandzi International Airport,Dzaoudzi,Mayotte
RUN,Roland Garros Airport,St Denis,Réunion
ZSE,Pierrefonds Airport,St Pierre,Réunion
OHB,Moramanga Aerodrome,Moramanga,Republic of Madagascar
ATJ,Antsirabe Airport,Antsirabe,Republic of Madagascar
WAQ,Antsalova Airport,Antsalova,Republic of Madagascar
VVB,Mahanoro Airport,Mahanoro,Republic of Madagascar
TNR,Ivato Airport,Antananarivo,Republic of Madagascar
JVA,Ankavandra Airport,Ankavandra,Republic of Madagascar
BMD,Belo sur Tsiribihina Airport,Belo sur Tsiribihina,Republic of Madagascar
MXT,Maintirano Airport,Maintirano,Republic of Madagascar
ILK,Atsinanana Airport,Ilaka,Republic of Madagascar
TVA,Morafenobe Airport,Morafenobe,Republic of Madagascar
WTA,Tambohorano Airport,Tambohorano,Republic of Madagascar
WTS,Tsiroanomandidy Airport,Tsiroanomandidy,Republic of Madagascar
VAT,Vatomandry Airport,Vatomandry,Republic of Madagascar
WAM,Ambatondrazaka Airport,Ambatondrazaka,Republic of Madagascar
WMR,Mananara Nord Airport,Mananara Nord,Republic of Madagascar
WPB,Port Berge Airport,Port Berge,Republic of Madagascar
IVA,Ambanja Airport,Ambanja,Republic of Madagascar
NOS,Fascene Airport,Nosy Be,Republic of Madagascar
DWB,Soalala Airport,Soalala,Republic of Madagascar
TTS,Tsaratanana Airport,Tsaratanana,Republic of Madagascar
WAI,Ambalabe Airport,Antsohihy,Republic of Madagascar
WMA,Mandritsara Airport,Mandritsara,Republic of Madagascar
WBO,Antsoa Airport,Beroroha,Republic of Madagascar
WMD,Mandabe Airport,Mandabe,Republic of Madagascar
FTU,Tolanaro Airport,Tolanaro,Republic of Madagascar
IHO,Ihosy Airport,Ihosy,Republic of Madagascar
MJA,Manja Airport,Manja,Republic of Madagascar
OVA,Bekily Airport,Bekily,Republic of Madagascar
TDV,Samangoky Airport,Tanandava,Republic of Madagascar
VND,Vangaindrano Airport,Vangaindrano,Republic of Madagascar
BKU,Betioky Airport,Betioky,Republic of Madagascar
AMP,Ampanihy Airport,Ampanihy,Republic of Madagascar
WAK,Ankazoabo Airport,Ankazoabo,Republic of Madagascar
AZZ,Ambriz Airport,Ambriz,Republic of Angola
SSY,Mbanza Congo Airport,Mbanza Congo,Republic of Angola
BUG,Benguela Airport,Benguela,Republic of Angola
NBJ,Dr. Antonio Agostinho Neto International Airport,Luanda,Republic of Angola
CAB,Cabinda Airport,Cabinda,Republic of Angola
CFF,Cafunfo Airport,Cafunfo,Republic of Angola
PGI,Chitato Airport,Chitato,Republic of Angola
CBT,Catumbela Airport,Catumbela,Republic of Angola
CTI,Cuito Cuanavale Airport,Cuito Cuanavale,Republic of Angola
CAV,Cazombo Airport,Cazombo,Republic of Angola
DUE,Dundo Airport,Chitato,Republic of Angola
VPE,Ngjiva Pereira Airport,Ngiva,Republic of Angola
NOV,Nova Lisboa Airport,Huambo,Republic of Angola
SVP,Kuito Airport,Kuito,Republic of Angola
LLT,Lobito Airport,Lobito,Republic of Angola
LBZ,Lucapa Airport,Lucapa,Republic of Angola
LAD,Quatro De Fevereiro Airport,Luanda,Republic of Angola
LZM,Luzamba Airport,Luzamba,Republic of Angola
MEG,Malanje Airport,Malanje,Republic of Angola
SPP,Menongue Airport,Menongue,Republic of Angola
MSZ,Namibe Airport,Namibe,Republic of Angola
GXG,Negage Airport,Negage,Republic of Angola
PBN,Porto Amboim Airport,Port Amboim,Republic of Angola
VHC,Saurimo Airport,Saurimo,Republic of Angola
SZA,Soyo Airport,Soyo,Republic of Angola
NDD,Sumbe Airport,Sumbe,Republic of Angola
UAL,Luau Airport,Luau,Republic of Angola
SDD,Lubango Airport,Lubango,Republic of Angola
LUO,Luena Airport,Luena,Republic of Angola
UGO,Uige Airport,Uige,Republic of Angola
CEO,Waco Kungo Airport,Waco Kungo,Republic of Angola
XGN,Xangongo Airport,Xangongo,Republic of Angola
ARZ,N'zeto Airport,N'zeto,Republic of Angola
NZA,Nzagi Airport,Nzagi,Republic of Angola
AKE,Akiéni Airport,Akiéni,Gabonese Republic
BGB,Booue Airport,Booue,Gabonese Republic
KDN,Ndende Airport,Ndende,Gabonese Republic
FOU,Fougamou Airport,Fougamou,Gabonese Republic
MBC,M'Bigou Airport,M'Bigou,Gabonese Republic
MGX,Moabi Airport,Moabi,Gabonese Republic
KDJ,Ville Airport,N'Djole,Gabonese Republic
KOU,Koulamoutou Airport,Koulamoutou,Gabonese Republic
MJL,Mouilla Ville Airport,Mouila,Gabonese Republic
OYE,Oyem Airport,Oyem,Gabonese Republic
OKN,Okondja Airport,Okondja,Gabonese Republic
LBQ,Lambarene Airport,Lambarene,Gabonese Republic
MVX,Minvoul Airport,Minvoul,Gabonese Republic
BMM,Bitam Airport,Bitam,Gabonese Republic
MFF,Moanda Airport,Moanda,Gabonese Republic
MKB,Mekambo Airport,Mekambo,Gabonese Republic
POG,Port Gentil Airport,Port Gentil,Gabonese Republic
OMB,Omboue Hopital Airport,Omboue,Gabonese Republic
MKU,Makokou Airport,Makokou,Gabonese Republic
LBV,Leon M Ba Airport,Libreville,Gabonese Republic
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,Gabonese Republic
LTL,Lastourville Airport,Lastourville,Gabonese Republic
TCH,Tchibanga Airport,Tchibanga,Gabonese Republic
MYB,Mayumba Airport,Mayumba,Gabonese Republic
TMS,Sao Tome International Airport,Sao Tome,Democratic Republic of Sao Tome and Principe
ANO,Angoche Airport,Angoche,Republic of Mozambique
BEW,Beira Airport,Beira,Republic of Mozambique
FXO,Cuamba Airport,Cuamba,Republic of Mozambique
VPY,Chimoio Airport,Chimoio,Republic of Mozambique
IHC,Inhaca Airport,Inhaca,Republic of Mozambique
INH,Inhambane Airport,Inhambabe,Republic of Mozambique
VXC,Lichinga Airport,Lichinga,Republic of Mozambique
LFB,Lumbo Airport,Lumbo,Republic of Mozambique
MPM,Maputo Airport,Maputo,Republic of Mozambique
MUD,Mueda Airport,Mueda,Republic of Mozambique
MZB,Mocimboa da Praia Airport,Mocimboa da Praia,Republic of Mozambique
MNC,Nacala Airport,Nacala,Republic of Mozambique
APL,Nampula Airport,Nampula,Republic of Mozambique
POL,Pemba Airport,Pemba / Porto Amelia,Republic of Mozambique
PDD,Ponta do Ouro Airport,Ponta do Ouro,Republic of Mozambique
UEL,Quelimane Airport,Quelimane,Republic of Mozambique
TET,Chingozi Airport,Tete,Republic of Mozambique
VNX,Vilankulo Airport,Vilanculo,Republic of Mozambique
VJB,Xai-Xai Airport,Xai-Xai,Republic of Mozambique
DES,Desroches Airport,Desroches Island,Republic of Seychelles
SEZ,Seychelles International Airport,Mahe Island,Republic of Seychelles
PRI,Praslin Airport,Praslin Island,Republic of Seychelles
BDI,Bird Island Airport,Bird Island,Republic of Seychelles
DEI,Denis Island Airport,Denis Island,Republic of Seychelles
FRK,Fregate Island Airport,Fregate Island,Republic of Seychelles
SRH,Sarh Airport,Sarh,Republic of Chad
OGR,Bongor Airport,Bongor,Republic of Chad
LTC,Lai Airport,Lai,Republic of Chad
ATV,Ati Airport,Ati,Republic of Chad
NDJ,N'Djamena International Airport,N'Djamena,Republic of Chad
BKR,Bokoro Airport,Bokoro,Republic of Chad
OTC,Bol Airport,Bol,Republic of Chad
MVO,Mongo Airport,Mongo,Republic of Chad
AMC,Am Timan Airport,Am Timan,Republic of Chad
PLF,Pala Airport,Pala,Republic of Chad
OUT,Bousso Airport,Bousso,Republic of Chad
AMO,Mao Airport,Mao,Republic of Chad
BUQ,Joshua Mqabuko Nkomo International Airport,Bulawayo,Republic of Zimbabwe
CHJ,Chipinge Airport,Chipinge,Republic of Zimbabwe
BFO,Buffalo Range Airport,Chiredzi,Republic of Zimbabwe
VFA,Victoria Falls International Airport,Victoria Falls,Republic of Zimbabwe
HRE,Harare International Airport,Harare,Republic of Zimbabwe
KAB,Kariba International Airport,Kariba,Republic of Zimbabwe
MVZ,Masvingo International Airport,Masvingo,Republic of Zimbabwe
GWE,Thornhill Air Base,Gweru,Republic of Zimbabwe
HWN,Hwange National Park Airport,Hwange,Republic of Zimbabwe
WKI,Hwange Airport,Hwange,Republic of Zimbabwe
BLZ,Chileka International Airport,Blantyre,Republic of Malawi
CMK,Club Makokola Airport,Club Makokola,Republic of Malawi
KGJ,Karonga Airport,Karonga,Republic of Malawi
KBQ,Kasungu Airport,Kasungu,Republic of Malawi
LLW,Lilongwe International Airport,Lilongwe,Republic of Malawi
LIX,Likoma Island Airport,Likoma Island,Republic of Malawi
MYZ,Monkey Bay Airport,Monkey Bay,Republic of Malawi
LMB,Salima Airport,Salima,Republic of Malawi
LEF,Lebakeng Airport,Lebakeng,Kingdom of Lesotho
LRB,Leribe Airport,Leribe,Kingdom of Lesotho
LES,Lesobeng Airport,Lesobeng,Kingdom of Lesotho
MSG,Matsaile Airport,Matsaile,Kingdom of Lesotho
MFC,Mafeteng Airport,Mafeteng,Kingdom of Lesotho
MKH,Mokhotlong Airport,Mokhotlong,Kingdom of Lesotho
MSU,Moshoeshoe I International Airport,Maseru,Kingdom of Lesotho
NKU,Nkaus Airport,Nkaus,Kingdom of Lesotho
PEL,Pelaneng Airport,Pelaneng,Kingdom of Lesotho
UTG,Quthing Airport,Quthing,Kingdom of Lesotho
UNE,Qacha's Nek Airport,Qacha's Nek,Kingdom of Lesotho
SHK,Sehonghong Airport,Sehonghong,Kingdom of Lesotho
SKQ,Sekakes Airport,Sekakes,Kingdom of Lesotho
SOK,Semonkong Airport,Semonkong,Kingdom of Lesotho
SHZ,Seshutes Airport,Seshutes,Kingdom of Lesotho
THB,Thaba-Tseka Airport,Thaba-Tseka,Kingdom of Lesotho
TKO,Tlokoeng Airport,Tlokoeng,Kingdom of Lesotho
FIH,Ndjili International Airport,Kinshasa,"Congo, The Democratic Republic of the"
BOA,Boma Airport,Boma,"Congo, The Democratic Republic of the"
LZI,Luozi Airport,Luozi,"Congo, The Democratic Republic of the"
MAT,Tshimpi Airport,Matadi,"Congo, The Democratic Republic of the"
NKL,Nkolo Fuma Airport,Nkolo Fuma,"Congo, The Democratic Republic of the"
INO,Inongo Airport,Inongo,"Congo, The Democratic Republic of the"
NIO,Nioki Airport,Nioki,"Congo, The Democratic Republic of the"
KRZ,Basango Mboliasa Airport,Kiri,"Congo, The Democratic Republic of the"
IDF,Idiofa Airport,Idiofa,"Congo, The Democratic Republic of the"
LUS,Lusanga Airport,Lusanga,"Congo, The Democratic Republic of the"
MSM,Masi Manimba Airport,Masi Manimba,"Congo, The Democratic Republic of the"
MDK,Mbandaka Airport,Mbandaka,"Congo, The Democratic Republic of the"
BSU,Basankusu Airport,Basankusu,"Congo, The Democratic Republic of the"
LIE,Libenge Airport,Libenge,"Congo, The Democratic Republic of the"
GMA,Gemena Airport,Gemena,"Congo, The Democratic Republic of the"
BMB,Bumbar Airport,Bumbar,"Congo, The Democratic Republic of the"
LIQ,Lisala Airport,Lisala,"Congo, The Democratic Republic of the"
BNB,Boende Airport,Boende,"Congo, The Democratic Republic of the"
IKL,Ikela Airport,Ikela,"Congo, The Democratic Republic of the"
FKI,Bangoka International Airport,Kisangani,"Congo, The Democratic Republic of the"
YAN,Yangambi Airport,Yangambi,"Congo, The Democratic Republic of the"
RUE,Rughenda Airfield,Butembo,"Congo, The Democratic Republic of the"
GOM,Goma International Airport,Goma,"Congo, The Democratic Republic of the"
BNC,Beni Airport,Beni,"Congo, The Democratic Republic of the"
KND,Kindu Airport,Kindu,"Congo, The Democratic Republic of the"
KLY,Kinkungwa Airport,Kalima,"Congo, The Democratic Republic of the"
KGN,Kasongo Airport,Kasongo,"Congo, The Democratic Republic of the"
PUN,Punia Airport,Punia,"Congo, The Democratic Republic of the"
FBM,Lubumbashi International Airport,Lubumbashi,"Congo, The Democratic Republic of the"
PWO,Pweto Airport,Pweto,"Congo, The Democratic Republic of the"
KEC,Kasenga Airport,Kasenga,"Congo, The Democratic Republic of the"
MNO,Manono Airport,Manono,"Congo, The Democratic Republic of the"
BDV,Moba Airport,Moba,"Congo, The Democratic Republic of the"
KBO,Kabalo Airport,Kabalo,"Congo, The Democratic Republic of the"
KOO,Kongolo Airport,Kongolo,"Congo, The Democratic Republic of the"
KMN,Kamina / Ville Airport,Kamina,"Congo, The Democratic Republic of the"
KAP,Kapanga Airport,Kapanga,"Congo, The Democratic Republic of the"
KNM,Kaniama Airport,Kaniama,"Congo, The Democratic Republic of the"
KGA,Kananga Airport,Kananga,"Congo, The Democratic Republic of the"
LZA,Luiza Airport,Luiza,"Congo, The Democratic Republic of the"
TSH,Tshikapa Airport,Tshikapa,"Congo, The Democratic Republic of the"
LJA,Lodja Airport,Lodja,"Congo, The Democratic Republic of the"
LBO,Lusambo Airport,Lusambo,"Congo, The Democratic Republic of the"
MEW,Mweka Airport,Mweka,"Congo, The Democratic Republic of the"
BAN,Basongo Airport,Basongo,"Congo, The Democratic Republic of the"
PFR,Ilebo Airport,Ilebo,"Congo, The Democratic Republic of the"
MJM,Mbuji Mayi Airport,Mbuji Mayi,"Congo, The Democratic Republic of the"
GDJ,Gandajika Airport,Gandajika,"Congo, The Democratic Republic of the"
KBN,Tunta Airport,Kabinda,"Congo, The Democratic Republic of the"
BKO,Senou Airport,Senou,Republic of Mali
GUD,Goundam Airport,Goundam,Republic of Mali
KNZ,Kenieba Airport,Kenieba,Republic of Mali
KTX,Koutiala Airport,Koutiala,Republic of Mali
NRM,Nara Airport,Nara,Republic of Mali
NIX,Nioro du Sahel Airport,Nioro du Sahel,Republic of Mali
KSS,Sikasso Airport,Sikasso,Republic of Mali
TOM,Timbuktu Airport,Timbuktu,Republic of Mali
EYL,Yelimane Airport,Yelimane,Republic of Mali
BJL,Banjul International Airport,Banjul,Republic of the Gambia
FUE,Fuerteventura Airport,Fuerteventura Island,Kingdom of Spain
GMZ,La Gomera Airport,Alajero,Kingdom of Spain
VDE,Hierro Airport,El Hierro Island,Kingdom of Spain
SPC,La Palma Airport,Sta Cruz de la Palma,Kingdom of Spain
